,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,"Mercury Dime, MS  Price Changes  PCGS #  Description  Desig  4  12  40  60  63  64  65  66  67  68","Mercury Dime, MS  Price Changes  PCGS #  Description  Desig  4  12  40  60  63  64  65  66  67  68","Mercury Dime, MS  Price Changes  PCGS #  Description  Desig  4  12  40  60  63  64  65  66  67  68","Mercury Dime, MS  Price Changes  PCGS #  Description  Desig  4  12  40  60  63  64  65  66  67  68","Mercury Dime, MS  Price Changes  PCGS #  Description  Desig  4  12  40  60  63  64  65  66  67  68","Mercury Dime, MS  Price Changes  PCGS #  Description  Desig  4  12  40  60  63  64  65  66  67  68","Mercury Dime, MS  Price Changes  PCGS #  Description  Desig  4  12  40  60  63  64  65  66  67  68","Mercury Dime, MS  Price Changes  PCGS #  Description  Desig  4  12  40  60  63  64  65  66  67  68","Mercury Dime, MS  Price Changes  PCGS #  Description  Desig  4  12  40  60  63  64  65  66  67  68","Mercury Dime, MS  Price Changes  PCGS #  Description  Desig  4  12  40  60  63  64  65  66  67  68","Mercury Dime, MS  Price Changes  PCGS #  Description  Desig  4  12  40  60  63  64  65  66  67  68","Mercury Dime, MS  Price Changes  PCGS #  Description  Desig  4  12  40  60  63  64  65  66  67  68","Mercury Dime, MS  Price Changes  PCGS #  Description  Desig  4  12  40  60  63  64  65  66  67  68","Mercury Dime, MS  Price Changes  PCGS #  Description  Desig  4  12  40  60  63  64  65  66  67  68","Mercury Dime, MS  Price Changes  PCGS #  Description  Desig  4  12  40  60  63  64  65  66  67  68","Mercury Dime, MS  Price Changes  PCGS #  Description  Desig  4  12  40  60  63  64  65  66  67  68","Mercury Dime, MS  Price Changes  PCGS #  Description  Desig  4  12  40  60  63  64  65  66  67  68","Mercury Dime, MS  Price Changes  PCGS #  Description  Desig  4  12  40  60  63  64  65  66  67  68","Mercury Dime, MS  Price Changes  PCGS #  Description  Desig  4  12  40  60  63  64  65  66  67  68","Mercury Dime, MS  Price Changes  PCGS #  Description  Desig  4  12  40  60  63  64  65  66  67  68","Mercury Dime, MS  Price Changes  PCGS #  Description  Desig  4  12  40  60  63  64  65  66  67  68","Mercury Dime, MS  Price Changes  PCGS #  Description  Desig  4  12  40  60  63  64  65  66  67  68","Mercury Dime, MS  Price Changes  PCGS #  Description  Desig  4  12  40  60  63  64  65  66  67  68","Mercury Dime, MS  Price Changes  PCGS #  Description  Desig  4  12  40  60  63  64  65  66  67  68","Mercury Dime, MS  Price Changes  PCGS #  Description  Desig  4  12  40  60  63  64  65  66  67  68","Mercury Dime, MS  Price Changes  PCGS #  Description  Desig  4  12  40  60  63  64  65  66  67  68","Mercury Dime, MS  Price Changes  PCGS #  Description  Desig  4  12  40  60  63  64  65  66  67  68","Mercury Dime, MS  Price Changes  PCGS #  Description  Desig  4  12  40  60  63  64  65  66  67  68","Mercury Dime, MS  Price Changes  PCGS #  Description  Desig  4  12  40  60  63  64  65  66  67  68","Mercury Dime, MS  Price Changes  PCGS #  Description  Desig  4  12  40  60  63  64  65  66  67  68","Mercury Dime, MS  Price Changes  PCGS #  Description  Desig  4  12  40  60  63  64  65  66  67  68","Mercury Dime, MS  Price Changes  PCGS #  Description  Desig  4  12  40  60  63  64  65  66  67  68","Mercury Dime, MS  Price Changes  PCGS #  Description  Desig  4  12  40  60  63  64  65  66  67  68","Mercury Dime, MS  Price Changes  PCGS #  Description  Desig  4  12  40  60  63  64  65  66  67  68","Mercury Dime, MS  Price Changes  PCGS #  Description  Desig  4  12  40  60  63  64  65  66  67  68","Mercury Dime, MS  Price Changes  PCGS #  Description  Desig  4  12  40  60  63  64  65  66  67  68","Mercury Dime, MS  Price Changes  PCGS #  Description  Desig  4  12  40  60  63  64  65  66  67  68","Mercury Dime, MS  Price Changes  PCGS #  Description  Desig  4  12  40  60  63  64  65  66  67  68","Mercury Dime, MS  Price Changes  PCGS #  Description  Desig  4  12  40  60  63  64  65  66  67  68","Mercury Dime, MS  Price Changes  PCGS #  Description  Desig  4  12  40  60  63  64  65  66  67  68","Mercury Dime, MS  Price Changes  PCGS #  Description  Desig  4  12  40  60  63  64  65  66  67  68","Mercury Dime, MS  Price Changes  PCGS #  Description  Desig  4  12  40  60  63  64  65  66  67  68","Mercury Dime, MS  Price Changes  PCGS #  Description  Desig  4  12  40  60  63  64  65  66  67  68","Mercury Dime, MS  Price Changes  PCGS #  Description  Desig  4  12  40  60  63  64  65  66  67  68","Mercury Dime, MS  Price Changes  PCGS #  Description  Desig  4  12  40  60  63  64  65  66  67  68","Mercury Dime, MS  Price Changes  PCGS #  Description  Desig  4  12  40  60  63  64  65  66  67  68","Mercury Dime, MS  Price Changes  PCGS #  Description  Desig  4  12  40  60  63  64  65  66  67  68","Mercury Dime, MS  Price Changes  PCGS #  Description  Desig  4  12  40  60  63  64  65  66  67  68","Mercury Dime, MS  Price Changes  PCGS #  Description  Desig  4  12  40  60  63  64  65  66  67  68","Mercury Dime, MS  Price Changes  PCGS #  Description  Desig  4  12  40  60  63  64  65  66  67  68","Mercury Dime, MS  Price Changes  PCGS #  Description  Desig  4  12  40  60  63  64  65  66  67  68","Mercury Dime, MS  Price Changes  PCGS #  Description  Desig  4  12  40  60  63  64  65  66  67  68","Mercury Dime, MS  Price Changes  PCGS #  Description  Desig  4  12  40  60  63  64  65  66  67  68","Mercury Dime, MS  Price Changes  PCGS #  Description  Desig  4  12  40  60  63  64  65  66  67  68","Mercury Dime, MS  Price Changes  PCGS #  Description  Desig  4  12  40  60  63  64  65  66  67  68","Mercury Dime, MS  Price Changes  PCGS #  Description  Desig  4  12  40  60  63  64  65  66  67  68","Mercury Dime, MS  Price Changes  PCGS #  Description  Desig  4  12  40  60  63  64  65  66  67  68","Mercury Dime, MS  Price Changes  PCGS #  Description  Desig  4  12  40  60  63  64  65  66  67  68","Mercury Dime, MS  Price Changes  PCGS #  Description  Desig  4  12  40  60  63  64  65  66  67  68","Mercury Dime, MS  Price Changes  PCGS #  Description  Desig  4  12  40  60  63  64  65  66  67  68","Mercury Dime, MS  Price Changes  PCGS #  Description  Desig  4  12  40  60  63  64  65  66  67  68","Mercury Dime, MS  Price Changes  PCGS #  Description  Desig  4  12  40  60  63  64  65  66  67  68","Mercury Dime, MS  Price Changes  PCGS #  Description  Desig  4  12  40  60  63  64  65  66  67  68","Mercury Dime, MS  Price Changes  PCGS #  Description  Desig  4  12  40  60  63  64  65  66  67  68","Mercury Dime, MS  Price Changes  PCGS #  Description  Desig  4  12  40  60  63  64  65  66  67  68","Mercury Dime, MS  Price Changes  PCGS #  Description  Desig  4  12  40  60  63  64  65  66  67  68","Mercury Dime, MS  Price Changes  PCGS #  Description  Desig  4  12  40  60  63  64  65  66  67  68","Mercury Dime, MS  Price Changes  PCGS #  Description  Desig  4  12  40  60  63  64  65  66  67  68","Mercury Dime, MS  Price Changes  PCGS #  Description  Desig  4  12  40  60  63  64  65  66  67  68","Mercury Dime, MS  Price Changes  PCGS #  Description  Desig  4  12  40  60  63  64  65  66  67  68","Mercury Dime, MS  Price Changes  PCGS #  Description  Desig  4  12  40  60  63  64  65  66  67  68","Mercury Dime, MS  Price Changes  PCGS #  Description  Desig  4  12  40  60  63  64  65  66  67  68","Mercury Dime, MS  Price Changes  PCGS #  Description  Desig  4  12  40  60  63  64  65  66  67  68","Mercury Dime, MS  Price Changes  PCGS #  Description  Desig  4  12  40  60  63  64  65  66  67  68","Mercury Dime, MS  Price Changes  PCGS #  Description  Desig  4  12  40  60  63  64  65  66  67  68","Mercury Dime, MS  Price Changes  PCGS #  Description  Desig  4  12  40  60  63  64  65  66  67  68","Mercury Dime, MS  Price Changes  PCGS #  Description  Desig  4  12  40  60  63  64  65  66  67  68","Mercury Dime, MS  Price Changes  PCGS #  Description  Desig  4  12  40  60  63  64  65  66  67  68","Mercury Dime, MS  Price Changes  PCGS #  Description  Desig  4  12  40  60  63  64  65  66  67  68","Mercury Dime, MS  Price Changes  PCGS #  Description  Desig  4  12  40  60  63  64  65  66  67  68","Mercury Dime, MS  Price Changes  PCGS #  Description  Desig  4  12  40  60  63  64  65  66  67  68","Mercury Dime, MS  Price Changes  PCGS #  Description  Desig  4  12  40  60  63  64  65  66  67  68","Mercury Dime, MS  Price Changes  PCGS #  Description  Desig  4  12  40  60  63  64  65  66  67  68","Mercury Dime, MS  Price Changes  PCGS #  Description  Desig  4  12  40  60  63  64  65  66  67  68","Mercury Dime, MS  Price Changes  PCGS #  Description  Desig  4  12  40  60  63  64  65  66  67  68","Mercury Dime, MS  Price Changes  PCGS #  Description  Desig  4  12  40  60  63  64  65  66  67  68","Mercury Dime, MS  Price Changes  PCGS #  Description  Desig  4  12  40  60  63  64  65  66  67  68","Mercury Dime, MS  Price Changes  PCGS #  Description  Desig  4  12  40  60  63  64  65  66  67  68","Mercury Dime, MS  Price Changes  PCGS #  Description  Desig  4  12  40  60  63  64  65  66  67  68","Mercury Dime, MS  Price Changes  PCGS #  Description  Desig  4  12  40  60  63  64  65  66  67  68","Mercury Dime, MS  Price Changes  PCGS #  Description  Desig  4  12  40  60  63  64  65  66  67  68","Mercury Dime, MS  Price Changes  PCGS #  Description  Desig  4  12  40  60  63  64  65  66  67  68","Mercury Dime, MS  Price Changes  PCGS #  Description  Desig  4  12  40  60  63  64  65  66  67  68","Mercury Dime, MS  Price Changes  PCGS #  Description  Desig  4  12  40  60  63  64  65  66  67  68","Mercury Dime, MS  Price Changes  PCGS #  Description  Desig  4  12  40  60  63  64  65  66  67  68","Mercury Dime, MS  Price Changes  PCGS #  Description  Desig  4  12  40  60  63  64  65  66  67  68","Mercury Dime, MS  Price Changes  PCGS #  Description  Desig  4  12  40  60  63  64  65  66  67  68","Mercury Dime, MS  Price Changes  PCGS #  Description  Desig  4  12  40  60  63  64  65  66  67  68","Mercury Dime, MS  Price Changes  PCGS #  Description  Desig  4  12  40  60  63  64  65  66  67  68","Mercury Dime, MS  Price Changes  PCGS #  Description  Desig  4  12  40  60  63  64  65  66  67  68"
1,PCGS #,Description,Desig,4,12,40,60,63,64,65,66,67,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,PCGS #,Description,Desig,4,12,40,60,63,64,65,66,67,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,Complete Set - Date,MS  +,181,328,831,2609,"▲4,238  4,615","▲5,392  6,311","8,059 9,764","13,450 18,470","34,505 161,790",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,Complete Set - Date,FB  +,,,,3510,"▲6,809  7,755","9,370 11,155","16,155 19,960","29,071 46,575",98415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,Complete Set-Date & Mint Mark,MS  +,1897,4558,11928,27502,"▲42,147  46,051","▲52,285  60,517","77,291 91,611","124,735 ▲229,965",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,Complete Set-Date & Mint Mark,FB  +,,,,,"▲85,156  96,945","128,845 154,435","292,215 381,175","▲771,633",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,Complete Set - with Major Varieties,MS  +,2628,5416,13188,32887,"▲54,447  59,261","▲71,860  84,102","118,426 138,256","178,900 ▲325,180",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,Complete Set - with Major Varieties,FB  +,,,,,"▲105,331  118,170","155,145 188,835","374,115 472,275","▲895,683",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,4902,Type,MS  +,4,4,5,10,▲22  25,▲34  37,42  47,55  65,115  225,"450  1,250",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
